,type,n_clients,time
0,E,76,4.317468643188477
1,E,30,3.331092596054077
2,E,13,0.7225451469421387
3,E,101,13.55626893043518
4,E,33,5.085371255874634
5,E,76,12.81093430519104
6,E,76,10.147401332855225
7,E,23,4.253468990325928
8,E,101,13.19726848602295
9,E,76,11.376096487045288
10,E,51,5.791411638259888
11,E,22,1.2923684120178223
12,F,72,11.342623472213745
13,F,135,32.101940631866455
14,F,45,6.4439051151275635
15,M,200,30.256526947021484
16,M,101,20.029146432876587
17,M,200,32.46944761276245
18,M,151,25.50081515312195
19,M,121,27.76717257499695
20,P,101,36.56314301490784
21,P,55,3.893378973007202
22,P,23,2.4408223628997803
23,P,55,6.666316509246826
24,P,76,17.30156397819519
25,P,50,5.463674068450928
26,P,16,1.5937464237213135
27,P,50,6.944183111190796
28,P,50,5.584455966949463
29,P,40,5.697821378707886
30,P,45,7.233160495758057
31,P,51,6.604060173034668
32,P,60,4.930241584777832
33,P,22,3.3842544555664062
34,P,60,8.02737545967102
35,P,70,8.735943078994751
36,P,19,2.5706024169921875
37,P,21,1.8594794273376465
38,P,76,18.62624502182007
39,P,20,3.3464276790618896
40,P,65,7.666237115859985
41,P,55,6.793968915939331
42,P,22,2.2806241512298584
43,P,55,6.5226731300354
